time,R0_V,R0_V_sd,dt,NTU,NTU_sd
1654973679.717,NaN,NaN,11-06-2022 18:54:39.7170,NaN,NaN
1654977279.719,NaN,NaN,11-06-2022 19:54:39.7190,NaN,NaN
1654980879.703,NaN,NaN,11-06-2022 20:54:39.7030,NaN,NaN
1654984479.695,NaN,NaN,11-06-2022 21:54:39.6949,NaN,NaN
1654988079.64,0.01861572265625,0.000987407910401737,11-06-2022 22:54:39.6400,-44.6402317080216,-51.7717540062059
1654991679.632,0.01953125,0.00119735583863995,11-06-2022 23:54:39.6320,-44.269855766777,-51.6868197199015
1654995279.606,0.019683837890625,0.00138038004562947,12-06-2022 00:54:39.6060,-44.2081264432362,-51.6127774060404
1654998879.671,0.019989013671875,0.00109322281574557,12-06-2022 01:54:39.6710,-44.0846677961546,-51.7289466608743
1655002479.664,0.019073486328125,0.00095488260303818,12-06-2022 02:54:39.6640,-44.4550437373993,-51.7849120963616
1655006079.648,NaN,NaN,12-06-2022 03:54:39.6480,NaN,NaN
1655009679.688,NaN,NaN,12-06-2022 04:54:39.6879,NaN,NaN
1655013279.682,NaN,NaN,12-06-2022 05:54:39.6820,NaN,NaN
1655016879.739,NaN,NaN,12-06-2022 06:54:39.7390,NaN,NaN
1655020479.723,NaN,NaN,12-06-2022 07:54:39.7230,NaN,NaN
1655024079.714,NaN,NaN,12-06-2022 08:54:39.7140,NaN,NaN
1655027679.758,NaN,NaN,12-06-2022 09:54:39.7580,NaN,NaN
1655031279.754,NaN,NaN,12-06-2022 10:54:39.7540,NaN,NaN
1655034879.694,NaN,NaN,12-06-2022 11:54:39.6939,NaN,NaN
1655038479.803,NaN,NaN,12-06-2022 12:54:39.8030,NaN,NaN
1655042079.743,NaN,NaN,12-06-2022 13:54:39.7430,NaN,NaN
1655045679.785,NaN,NaN,12-06-2022 14:54:39.7850,NaN,NaN
1655049279.728,NaN,NaN,12-06-2022 15:54:39.7280,NaN,NaN
1655052879.72,NaN,NaN,12-06-2022 16:54:39.7200,NaN,NaN
1655056479.705,NaN,NaN,12-06-2022 17:54:39.7050,NaN,NaN
1655060079.706,NaN,NaN,12-06-2022 18:54:39.7060,NaN,NaN
1655063679.754,NaN,NaN,12-06-2022 19:54:39.7540,NaN,NaN
1655067279.747,NaN,NaN,12-06-2022 20:54:39.7470,NaN,NaN
1655070879.739,NaN,NaN,12-06-2022 21:54:39.7390,NaN,NaN
1655074479.732,NaN,NaN,12-06-2022 22:54:39.7320,NaN,NaN
1655078079.671,0.0174713134765625,0.00112405501496441,12-06-2022 23:54:39.6710,-45.1032016345774,-51.7164735164245
1655081679.647,NaN,NaN,13-06-2022 00:54:39.6470,NaN,NaN
1655085279.713,0.01708984375,0.000986672715344579,13-06-2022 01:54:39.7130,-45.2575249434294,-51.7720514288478
1655088879.706,0.017852783203125,0.000859687996532297,13-06-2022 02:54:39.7060,-44.9488783257255,-51.8234230072882
1655092479.69,0.0177001953125,0.00113208159013766,13-06-2022 03:54:39.6899,-45.0106076492663,-51.7132263710989
1655096079.678,NaN,NaN,13-06-2022 04:54:39.6780,NaN,NaN
1655099680.135,NaN,NaN,13-06-2022 05:54:40.1350,NaN,NaN
1655103279.709,NaN,NaN,13-06-2022 06:54:39.7090,NaN,NaN
1655106879.704,NaN,NaN,13-06-2022 07:54:39.7040,NaN,NaN
1655110479.748,NaN,NaN,13-06-2022 08:54:39.7480,NaN,NaN
1655114079.74,NaN,NaN,13-06-2022 09:54:39.7400,NaN,NaN
1655117679.735,NaN,NaN,13-06-2022 10:54:39.7350,NaN,NaN
1655121279.727,NaN,NaN,13-06-2022 11:54:39.7270,NaN,NaN
1655124879.782,NaN,NaN,13-06-2022 12:54:39.7820,NaN,NaN
1655128479.776,NaN,NaN,13-06-2022 13:54:39.7760,NaN,NaN
1655132079.771,NaN,NaN,13-06-2022 14:54:39.7710,NaN,NaN
1655135679.77,NaN,NaN,13-06-2022 15:54:39.7700,NaN,NaN
1655139279.763,NaN,NaN,13-06-2022 16:54:39.7630,NaN,NaN
1655142879.696,NaN,NaN,13-06-2022 17:54:39.6959,NaN,NaN
1655146479.688,NaN,NaN,13-06-2022 18:54:39.6879,NaN,NaN
1655150079.746,NaN,NaN,13-06-2022 19:54:39.7460,NaN,NaN
1655153679.738,NaN,NaN,13-06-2022 20:54:39.7380,NaN,NaN
1655157279.731,NaN,NaN,13-06-2022 21:54:39.7310,NaN,NaN
1655160879.672,NaN,NaN,13-06-2022 22:54:39.6720,NaN,NaN
1655164479.652,0.024261474609375,0.00197492183937965,13-06-2022 23:54:39.6520,-42.3562467370129,-51.3722559426753
1655168079.628,0.0238037109375,0.00121795069055063,14-06-2022 00:54:39.6280,-42.5414347076353,-51.6784880870854
1655171679.692,0.0244140625,0.00160300680929223,14-06-2022 01:54:39.6919,-42.2945174134722,-51.5227139058067
1655175279.686,0.02532958984375,0.0011816068726254,14-06-2022 02:54:39.6860,-41.9241414722275,-51.6931909529958
1655178879.67,0.025787353515625,0.00129282887322332,14-06-2022 03:54:39.6700,-41.7389535016052,-51.6481961710925
1655182479.678,NaN,NaN,14-06-2022 04:54:39.6780,NaN,NaN
1655186079.706,NaN,NaN,14-06-2022 05:54:39.7060,NaN,NaN
1655189679.755,NaN,NaN,14-06-2022 06:54:39.7550,NaN,NaN
1655193279.747,NaN,NaN,14-06-2022 07:54:39.7470,NaN,NaN
1655196879.739,NaN,NaN,14-06-2022 08:54:39.7390,NaN,NaN
1655200479.731,NaN,NaN,14-06-2022 09:54:39.7310,NaN,NaN
1655204079.721,NaN,NaN,14-06-2022 10:54:39.7210,NaN,NaN
1655207679.718,NaN,NaN,14-06-2022 11:54:39.7180,NaN,NaN
1655211279.765,NaN,NaN,14-06-2022 12:54:39.7650,NaN,NaN
1655214879.758,NaN,NaN,14-06-2022 13:54:39.7580,NaN,NaN
