time,R0_V,R0_V_sd,dt,NTU,NTU_sd
1654071489.884,NaN,NaN,01-06-2022 08:18:09.8840,NaN,NaN
1654071515.985,NaN,NaN,01-06-2022 08:18:35.9850,NaN,NaN
1654071522.236,2.43553161621094,0.908405261660183,01-06-2022 08:18:42.2360,705.678344895795,239.598606614947
1654071528.456,0.374755859375,1.71904846866722,01-06-2022 08:18:48.4560,76.7285382609915,487.00732471813
1654071534.669,4.97802734375,0.914626066666699,01-06-2022 08:18:54.6690,1481.64933101644,241.497199459405
1654071540.924,NaN,NaN,01-06-2022 08:19:00.9240,NaN,NaN
1654071547.174,4.9993896484375,0,01-06-2022 08:19:07.1739,1488.16911724641,-37.6471401733558
1654071553.428,3.43887329101562,1.56496970852062,01-06-2022 08:19:13.4280,1011.89873314704,439.982408941013
1654071559.621,NaN,NaN,01-06-2022 08:19:19.6210,NaN,NaN
1654071565.784,NaN,NaN,01-06-2022 08:19:25.7840,NaN,NaN
1654071572.005,4.99862670898438,2.25500196466984,01-06-2022 08:19:32.0050,1487.9362677382,650.580603643755
1654071578.256,4.99725341796875,0,01-06-2022 08:19:38.2560,1487.51713862342,-37.6471401733558
1654071584.492,4.99923706054688,0,01-06-2022 08:19:44.4920,1488.12254734477,-37.6471401733558
1654071590.727,4.99908447265625,0,01-06-2022 08:19:50.7270,1488.07597744313,-37.6471401733558
1654071596.988,4.99908447265625,0,01-06-2022 08:19:56.9880,1488.07597744313,-37.6471401733558
1654071603.257,4.99801635742188,0,01-06-2022 08:20:03.2570,1487.74998813163,-37.6471401733558
1654071609.496,4.99862670898438,0,01-06-2022 08:20:09.4960,1487.9362677382,-37.6471401733558
1654071615.729,4.998779296875,0,01-06-2022 08:20:15.7290,1487.98283763984,-37.6471401733558
1654071621.993,4.99862670898438,0,01-06-2022 08:20:21.9930,1487.9362677382,-37.6471401733558
1654071628.256,4.998779296875,0,01-06-2022 08:20:28.2560,1487.98283763984,-37.6471401733558
1654071634.493,4.99862670898438,0,01-06-2022 08:20:34.4930,1487.9362677382,-37.6471401733558
1654071640.735,4.99832153320312,0,01-06-2022 08:20:40.7350,1487.84312793492,-37.6471401733558
1654071646.996,4.99862670898438,0,01-06-2022 08:20:46.9960,1487.9362677382,-37.6471401733558
1654071653.259,4.99862670898438,0,01-06-2022 08:20:53.2590,1487.9362677382,-37.6471401733558
1654071659.496,4.998779296875,0,01-06-2022 08:20:59.4960,1487.98283763984,-37.6471401733558
