serial number: 211590
lat: 64.67
lon: -148.63
time,pressure (mbar),approximate depth (m),ambient,backscatter,temp (C),battery (V)
2022-10-05 10:04:43,1003.1,0.03,1.0,29126.0,4.21,4.08
2022-10-05 10:04:45,1003.2,0.03,1.0,29121.0,4.21,4.08
2022-10-05 10:04:47,1003.1,0.03,0.0,29124.0,4.21,4.08
2022-10-05 10:04:58,1003.1,0.03,1.0,29124.0,4.16,4.06
2022-10-05 10:04:59,1003.0,0.03,1.0,29121.0,4.16,4.06
2022-10-05 10:05:00,1003.2,0.03,0.0,29120.0,4.16,4.06
2022-10-05 13:19:27,1004.1,0.04,20711.0,39116.0,5.18,4.12
2022-10-05 14:19:27,1145.6,1.48,50.0,3622.0,4.31,4.12
2022-10-05 15:19:27,1145.4,1.48,36.0,3659.0,4.35,4.12
2022-10-05 19:19:27,1138.9,1.42,1.0,3702.0,4.3,4.09
2022-10-05 20:19:27,1144.0,1.47,0.0,3620.0,4.25,4.09
2022-10-05 21:19:27,1142.2,1.45,0.0,3734.0,4.21,4.09
2022-10-05 22:19:27,1143.7,1.47,0.0,3653.0,4.14,4.08
2022-10-05 23:19:27,1140.3,1.43,1.0,3647.0,4.08,4.08
2022-10-06 00:19:27,1143.4,1.46,0.0,3638.0,4.03,4.08
2022-10-06 07:19:27,1142.4,1.45,0.0,3643.0,4.05,4.06
2022-10-06 08:19:27,1147.0,1.50,1.0,3607.0,4.08,4.06
2022-10-06 09:19:27,1145.0,1.48,6.0,3623.0,4.1,4.06
2022-10-06 10:19:27,1143.5,1.46,13.0,3650.0,4.13,4.05
2022-10-06 11:19:27,1142.9,1.46,27.0,3624.0,4.17,4.05
2022-10-06 12:19:27,1142.3,1.45,54.0,3636.0,4.23,4.05
2022-10-06 13:19:27,1140.3,1.43,66.0,3628.0,4.32,4.06
2022-10-06 14:19:27,1146.8,1.50,36.0,3625.0,4.38,4.06
2022-10-06 15:19:27,1144.8,1.48,28.0,3730.0,4.42,4.06
2022-10-06 19:19:27,1143.5,1.46,1.0,3649.0,4.52,4.03
2022-10-06 20:19:27,1145.3,1.48,0.0,3633.0,4.52,4.03
2022-10-06 21:19:27,1143.6,1.46,1.0,3618.0,4.51,4.03
2022-10-06 22:19:27,1143.2,1.46,0.0,3636.0,4.51,4.03
