serial number: 209175
lat: 64.82
lon: -147.74
time,pressure (mbar),approximate depth (m),ambient,backscatter,temp (C),battery (V)
2022-10-04 05:15:40,1380.6,3.88,0.0,3570.0,4.78,4.12
2022-10-04 06:15:40,1378.6,3.86,0.0,3540.0,4.69,4.12
2022-10-04 07:15:40,1377.9,3.85,0.0,3537.0,4.58,4.12
2022-10-04 08:15:40,1383.2,3.91,0.0,3544.0,4.46,4.14
2022-10-04 09:15:40,1376.2,3.84,0.0,3539.0,4.37,4.14
2022-10-04 10:15:40,1383.5,3.91,0.0,3541.0,4.31,4.14
2022-10-04 17:15:40,1392.2,4.00,0.0,3520.0,4.86,4.16
2022-10-04 18:15:40,1382.2,3.90,0.0,3526.0,4.9,4.16
2022-10-04 19:15:40,1378.4,3.86,0.0,3518.0,4.87,4.16
2022-10-04 20:15:40,1373.6,3.81,0.0,3537.0,4.84,4.19
2022-10-04 21:15:40,1376.4,3.84,0.0,3555.0,4.81,4.19
2022-10-04 22:15:40,1385.7,3.93,0.0,3528.0,4.76,4.19
2022-10-04 23:15:40,1370.7,3.78,0.0,3521.0,4.69,4.15
2022-10-05 00:15:40,1379.2,3.87,0.0,3514.0,4.64,4.15
2022-10-05 01:15:40,1380.7,3.88,0.0,3523.0,4.58,4.15
2022-10-05 02:15:40,1377.6,3.85,0.0,3544.0,4.55,4.16
2022-10-05 03:15:40,1381.9,3.89,0.0,3535.0,4.53,4.16
2022-10-05 04:15:40,1372.9,3.80,0.0,3523.0,4.48,4.16
2022-10-05 08:15:40,1387.8,3.95,0.0,3540.0,4.3,4.08
2022-10-05 09:15:40,1379.6,3.87,0.0,3518.0,4.23,4.08
2022-10-05 10:15:40,1379.0,3.86,0.0,3521.0,4.17,4.08
2022-10-05 17:15:40,1377.0,3.84,0.0,3499.0,4.64,4.19
2022-10-05 18:15:40,1372.4,3.80,0.0,3515.0,4.69,4.19
2022-10-05 19:15:40,1374.5,3.82,0.0,3514.0,4.69,4.19
2022-10-06 08:15:40,1003.0,0.03,298.0,20060.0,4.23,4.13
2022-10-06 09:15:40,1003.3,0.03,2426.0,20091.0,4.4,4.13
2022-10-06 10:15:40,1002.1,0.02,6532.0,15825.0,5.07,4.13
2022-10-06 11:15:40,1001.7,0.02,11755.0,20119.0,6.09,4.11
2022-10-06 11:15:40,1001.7,0.02,11755.0,20119.0,6.09,4.11
2022-10-06 12:15:40,1366.0,3.73,0.0,3583.0,4.59,4.11
2022-10-06 12:15:40,1366.0,3.73,0.0,3583.0,4.59,4.11
2022-10-06 13:15:40,1369.3,3.77,0.0,3569.0,4.67,4.11
2022-10-06 13:15:40,1369.3,3.77,0.0,3569.0,4.67,4.11
2022-10-06 14:15:40,1368.7,3.76,0.0,3567.0,4.8,4.14
2022-10-06 15:15:40,1372.0,3.79,0.0,3542.0,4.94,4.14
2022-10-06 16:15:40,1376.4,3.84,0.0,3530.0,5.09,4.14
2022-10-07 02:15:40,1363.0,3.70,0.0,3509.0,5.55,4.11
2022-10-07 02:15:40,1363.0,3.70,0.0,3509.0,5.55,4.11
2022-10-07 03:15:40,1363.3,3.70,0.0,3536.0,5.52,4.11
2022-10-07 03:15:40,1363.3,3.70,0.0,3536.0,5.52,4.11
2022-10-07 04:15:40,1367.8,3.75,0.0,3508.0,5.49,4.11
2022-10-07 04:15:40,1367.8,3.75,0.0,3508.0,5.49,4.11
2022-10-07 05:15:40,1361.0,3.68,0.0,3515.0,5.48,4.11
2022-10-07 06:15:40,1363.6,3.71,0.0,3540.0,5.49,4.11
2022-10-07 07:15:40,1362.5,3.70,0.0,3513.0,5.52,4.11
2022-10-08 05:15:40,1361.5,3.69,0.0,3547.0,5.19,4.06
2022-10-08 05:15:40,1361.5,3.69,0.0,3547.0,5.19,4.06
2022-10-08 06:15:40,1372.0,3.79,0.0,3538.0,5.17,4.06
2022-10-08 06:15:40,1372.0,3.79,0.0,3538.0,5.17,4.06
2022-10-08 07:15:40,1364.0,3.71,0.0,3601.0,5.14,4.06
2022-10-08 07:15:40,1364.0,3.71,0.0,3601.0,5.14,4.06
2022-10-08 14:15:40,1355.7,3.63,0.0,3526.0,5.33,4.06
2022-10-08 14:15:40,1355.7,3.63,0.0,3526.0,5.33,4.06
2022-10-08 15:15:40,1355.6,3.63,0.0,3670.0,5.38,4.06
2022-10-08 15:15:40,1355.6,3.63,0.0,3670.0,5.38,4.06
2022-10-08 16:15:40,1351.0,3.58,0.0,3561.0,5.42,4.06
2022-10-08 16:15:40,1351.0,3.58,0.0,3561.0,5.42,4.06
2022-10-09 05:15:40,1343.6,3.50,0.0,3580.0,5.19,4.01
2022-10-09 05:15:40,1343.6,3.50,0.0,3580.0,5.19,4.01
2022-10-09 06:15:40,1341.5,3.48,0.0,3533.0,5.23,4.01
2022-10-09 06:15:40,1341.5,3.48,0.0,3533.0,5.23,4.01
2022-10-09 07:15:40,1345.3,3.52,0.0,3534.0,5.28,4.01
2022-10-09 07:15:40,1345.3,3.52,0.0,3534.0,5.28,4.01
2022-10-09 08:15:40,1345.9,3.53,0.0,3538.0,5.32,3.94
2022-10-09 09:15:40,1356.8,3.64,0.0,3512.0,5.34,3.94
2022-10-09 10:15:40,1345.5,3.52,0.0,3537.0,5.31,3.94
2022-10-09 20:15:40,1368.5,3.76,0.0,3597.0,4.17,3.93
2022-10-09 20:15:40,1368.5,3.76,0.0,3597.0,4.17,3.93
2022-10-09 21:15:40,1364.9,3.72,0.0,3652.0,4.1,3.93
2022-10-09 21:15:40,1364.9,3.72,0.0,3652.0,4.1,3.93
2022-10-09 22:15:40,1367.9,3.75,0.0,3627.0,4.04,3.93
2022-10-09 22:15:40,1367.9,3.75,0.0,3627.0,4.04,3.93
2022-10-09 23:15:40,1369.7,3.77,0.0,3658.0,3.98,3.94
2022-10-09 23:15:40,1369.7,3.77,0.0,3658.0,3.98,3.94
2022-10-10 00:15:40,1375.9,3.83,0.0,3632.0,3.94,3.94
2022-10-10 00:15:40,1375.9,3.83,0.0,3632.0,3.94,3.94
2022-10-10 01:15:40,1377.2,3.85,0.0,3653.0,3.86,3.94
2022-10-10 01:15:40,1377.2,3.85,0.0,3653.0,3.86,3.94
2022-10-10 02:15:40,1388.6,3.96,0.0,3666.0,3.79,3.9
2022-10-10 02:15:40,1388.6,3.96,0.0,3666.0,3.79,3.9
2022-10-10 03:15:40,1386.0,3.94,0.0,3698.0,3.71,3.9
2022-10-10 03:15:40,1386.0,3.94,0.0,3698.0,3.71,3.9
2022-10-10 04:15:40,1380.4,3.88,0.0,3772.0,3.64,3.9
2022-10-10 04:15:40,1380.4,3.88,0.0,3772.0,3.64,3.9
2022-10-11 14:15:40,1392.7,4.00,0.0,3743.0,2.17,3.92
2022-10-11 14:15:40,1392.7,4.00,0.0,3743.0,2.17,3.92
2022-10-11 15:15:40,1390.5,3.98,0.0,3787.0,2.16,3.92
2022-10-11 15:15:40,1390.5,3.98,0.0,3787.0,2.16,3.92
2022-10-11 16:15:40,1404.1,4.12,0.0,3795.0,2.19,3.92
2022-10-11 16:15:40,1404.1,4.12,0.0,3795.0,2.19,3.92
2022-10-12 05:15:40,1388.7,3.96,0.0,3687.0,1.6,3.86
2022-10-12 06:15:40,1387.5,3.95,0.0,3693.0,1.58,3.86
2022-10-12 07:15:40,1389.4,3.97,0.0,3682.0,1.56,3.86
2022-10-12 08:15:40,1388.9,3.97,0.0,3676.0,1.54,3.82
2022-10-12 09:15:40,1388.6,3.96,0.0,3694.0,1.52,3.82
2022-10-12 10:15:40,1387.7,3.95,0.0,3664.0,1.49,3.82
2022-10-12 11:15:40,1384.3,3.92,0.0,3676.0,1.47,3.9
2022-10-12 11:15:40,1384.3,3.92,0.0,3676.0,1.47,3.9
2022-10-12 12:15:40,1383.5,3.91,0.0,3733.0,1.47,3.9
2022-10-12 12:15:40,1383.5,3.91,0.0,3733.0,1.47,3.9
2022-10-12 13:15:40,1388.5,3.96,0.0,3663.0,1.47,3.9
2022-10-12 13:15:40,1388.5,3.96,0.0,3663.0,1.47,3.9
2022-10-12 14:15:40,1385.4,3.93,0.0,3657.0,1.48,3.91
2022-10-12 14:15:40,1385.4,3.93,0.0,3657.0,1.48,3.91
2022-10-12 15:15:40,1380.1,3.88,0.0,3679.0,1.49,3.91
2022-10-12 15:15:40,1380.1,3.88,0.0,3679.0,1.49,3.91
2022-10-12 16:15:40,1382.4,3.90,0.0,3674.0,1.48,3.91
2022-10-12 16:15:40,1382.4,3.90,0.0,3674.0,1.48,3.91
2022-10-12 20:15:40,1376.7,3.84,0.0,3663.0,1.24,3.93
2022-10-12 20:15:40,1376.7,3.84,0.0,3663.0,1.24,3.93
2022-10-12 21:15:40,1370.9,3.78,0.0,3666.0,1.16,3.93
2022-10-12 21:15:40,1370.9,3.78,0.0,3666.0,1.16,3.93
2022-10-12 22:15:40,1371.2,3.79,0.0,3601.0,1.08,3.93
2022-10-12 22:15:40,1371.2,3.79,0.0,3601.0,1.08,3.93
2022-10-12 23:15:40,1374.4,3.82,0.0,3616.0,0.98,3.89
2022-10-13 00:15:40,1369.7,3.77,0.0,3601.0,0.88,3.89
2022-10-13 01:15:40,1372.9,3.80,0.0,3652.0,0.79,3.89
2022-10-13 02:15:40,1368.7,3.76,0.0,3623.0,0.71,3.81
2022-10-13 02:15:40,1368.7,3.76,0.0,3623.0,0.71,3.81
2022-10-13 03:15:40,1369.7,3.77,0.0,3602.0,0.65,3.81
2022-10-13 03:15:40,1369.7,3.77,0.0,3602.0,0.65,3.81
2022-10-13 04:15:40,1368.3,3.76,0.0,3590.0,0.58,3.81
2022-10-13 04:15:40,1368.3,3.76,0.0,3590.0,0.58,3.81
2022-10-14 02:15:40,1376.2,3.84,0.0,3537.0,0.21,3.75
2022-10-14 03:15:40,1375.5,3.83,0.0,3560.0,0.21,3.75
2022-10-14 04:15:40,1376.3,3.84,0.0,3539.0,0.22,3.75
2022-10-14 08:15:40,1389.2,3.97,0.0,3521.0,0.21,3.8
2022-10-14 09:15:40,1377.0,3.84,0.0,3514.0,0.21,3.8
2022-10-14 10:15:40,1378.5,3.86,0.0,3500.0,0.21,3.8
2022-10-14 14:15:40,1383.8,3.91,0.0,3531.0,0.22,3.95
2022-10-14 15:15:40,1385.6,3.93,0.0,3547.0,0.22,3.95
2022-10-14 16:15:40,1383.5,3.91,0.0,3541.0,0.22,3.95
2022-10-15 11:15:40,1365.2,3.72,0.0,3498.0,0.21,3.85
2022-10-15 11:15:40,1365.2,3.72,0.0,3498.0,0.21,3.85
2022-10-15 12:15:40,1364.3,3.71,0.0,3531.0,0.21,3.85
2022-10-15 12:15:40,1364.3,3.71,0.0,3531.0,0.21,3.85
