burstID,unixTime,background,reading,temperature,datetime,corrected
1,1659227192.0,3.0,169.0,9.5,2022-07-31 00:26:32,166.0
2,1659230792.0,3.0,168.0,9.25,2022-07-31 01:26:32,165.0
3,1659234392.0,3.0,166.0,9.25,2022-07-31 02:26:32,163.0
4,1659237992.0,3.0,160.0,9.25,2022-07-31 03:26:32,157.0
5,1659241592.0,17.0,176.5,9.0,2022-07-31 04:26:32,159.5
6,1659245192.0,14.0,179.0,8.75,2022-07-31 05:26:32,165.0
7,1659248792.0,52.0,219.0,8.75,2022-07-31 06:26:32,167.0
8,1659252392.0,124.0,302.0,8.5,2022-07-31 07:26:32,178.0
9,1659255992.0,129.0,326.5,8.25,2022-07-31 08:26:32,197.5
10,1659259592.0,104.0,325.0,8.25,2022-07-31 09:26:32,221.0
11,1659263192.0,79.0,325.0,8.0,2022-07-31 10:26:32,246.0
12,1659266792.0,123.0,391.0,8.25,2022-07-31 11:26:32,268.0
13,1659270392.0,95.0,389.0,8.25,2022-07-31 12:26:32,294.0
14,1659273992.0,62.0,390.0,8.25,2022-07-31 13:26:32,328.0
15,1659277592.0,65.0,430.0,8.25,2022-07-31 14:26:32,365.0
16,1659281192.0,36.0,425.0,8.5,2022-07-31 15:26:32,389.0
17,1659284792.0,46.0,435.0,8.75,2022-07-31 16:26:32,389.0
18,1659288392.0,40.0,421.0,8.75,2022-07-31 17:26:32,381.0
19,1659291992.0,37.0,401.0,9.0,2022-07-31 18:26:32,364.0
20,1659295592.0,32.0,382.0,9.0,2022-07-31 19:26:32,350.0
21,1659299192.0,13.0,349.0,9.0,2022-07-31 20:26:32,336.0
22,1659302792.0,3.0,322.0,8.75,2022-07-31 21:26:32,319.0
23,1659306392.0,3.0,306.0,8.5,2022-07-31 22:26:32,303.0
24,1659309992.0,3.0,295.0,8.5,2022-07-31 23:26:32,292.0
25,1659313592.0,3.0,285.0,8.25,2022-08-01 00:26:32,282.0
26,1659317192.0,3.0,279.0,8.25,2022-08-01 01:26:32,276.0
27,1659320792.0,3.0,277.0,8.25,2022-08-01 02:26:32,274.0
28,1659324392.0,3.0,271.0,8.0,2022-08-01 03:26:32,268.0
29,1659327992.0,3.0,275.0,7.75,2022-08-01 04:26:32,272.0
30,1659331592.0,3.0,276.0,7.75,2022-08-01 05:26:32,273.0
31,1659335192.0,5.0,290.0,7.5,2022-08-01 06:26:32,285.0
32,1659338792.0,11.0,311.0,7.5,2022-08-01 07:26:32,300.0
33,1659342392.0,9.0,336.0,7.25,2022-08-01 08:26:32,327.0
34,1659345992.0,10.0,386.0,7.25,2022-08-01 09:26:32,376.0
35,1659349592.0,9.0,385.0,7.0,2022-08-01 10:26:32,376.0
36,1659353192.0,15.0,376.0,7.0,2022-08-01 11:26:32,361.0
37,1659356792.0,24.0,378.0,7.0,2022-08-01 12:26:32,354.0
38,1659360392.0,25.0,378.0,7.0,2022-08-01 13:26:32,353.0
39,1659363992.0,23.0,369.0,7.0,2022-08-01 14:26:32,346.0
40,1659367592.0,34.0,373.0,7.0,2022-08-01 15:26:32,339.0
41,1659371192.0,24.0,354.0,7.0,2022-08-01 16:26:32,330.0
42,1659374792.0,25.0,347.0,7.0,2022-08-01 17:26:32,322.0
43,1659378392.0,17.0,334.0,7.0,2022-08-01 18:26:32,317.0
44,1659381992.0,41.0,344.0,7.0,2022-08-01 19:26:32,303.0
45,1659385592.0,34.0,330.0,7.0,2022-08-01 20:26:32,296.0
46,1659389192.0,11.5,297.0,6.75,2022-08-01 21:26:32,285.5
47,1659392792.0,3.0,280.0,6.75,2022-08-01 22:26:32,277.0
48,1659396392.0,3.0,267.0,6.5,2022-08-01 23:26:32,264.0
49,1659399992.0,3.0,255.0,6.5,2022-08-02 00:26:32,252.0
50,1659403592.0,3.0,247.0,6.5,2022-08-02 01:26:32,244.0
51,1659407192.0,3.0,240.0,6.5,2022-08-02 02:26:32,237.0
52,1659410792.0,3.0,238.0,6.25,2022-08-02 03:26:32,235.0
53,1659414392.0,3.0,239.0,6.25,2022-08-02 04:26:32,236.0
54,1659417992.0,27.0,257.0,6.25,2022-08-02 05:26:32,230.0
55,1659421592.0,28.0,251.0,6.0,2022-08-02 06:26:32,223.0
56,1659425192.0,81.0,302.0,6.0,2022-08-02 07:26:32,221.0
57,1659428792.0,109.0,321.0,6.0,2022-08-02 08:26:32,212.0
58,1659432392.0,154.0,365.0,6.0,2022-08-02 09:26:32,211.0
59,1659435992.0,266.0,483.0,6.25,2022-08-02 10:26:32,217.0
60,1659439592.0,313.0,522.5,6.5,2022-08-02 11:26:32,209.5
61,1659443192.0,399.0,604.0,6.75,2022-08-02 12:26:32,205.0
62,1659446792.0,418.0,614.0,7.0,2022-08-02 13:26:32,196.0
63,1659450392.0,395.0,598.0,7.5,2022-08-02 14:26:32,203.0
64,1659453992.0,411.0,621.0,7.75,2022-08-02 15:26:32,210.0
65,1659457592.0,451.0,640.0,8.25,2022-08-02 16:26:32,189.0
66,1659461192.0,405.0,589.0,8.75,2022-08-02 17:26:32,184.0
67,1659464792.0,334.0,511.0,9.25,2022-08-02 18:26:32,177.0
68,1659468392.0,246.0,435.0,9.75,2022-08-02 19:26:32,189.0
69,1659471992.0,164.0,352.0,10.0,2022-08-02 20:26:32,188.0
70,1659475592.0,94.0,277.0,10.0,2022-08-02 21:26:32,183.0
71,1659479192.0,38.0,215.0,10.0,2022-08-02 22:26:32,177.0
72,1659482792.0,6.0,184.0,10.0,2022-08-02 23:26:32,178.0
73,1659486392.0,3.0,172.0,10.0,2022-08-03 00:26:32,169.0
74,1659489992.0,3.0,166.0,9.75,2022-08-03 01:26:32,163.0
75,1659493592.0,3.0,163.0,9.75,2022-08-03 02:26:32,160.0
76,1659497192.0,3.0,163.0,9.5,2022-08-03 03:26:32,160.0
77,1659500792.0,5.0,170.0,9.25,2022-08-03 04:26:32,165.0
78,1659504392.0,34.0,198.0,9.0,2022-08-03 05:26:32,164.0
79,1659507992.0,98.5,259.0,9.0,2022-08-03 06:26:32,160.5
80,1659511592.0,204.0,362.0,8.75,2022-08-03 07:26:32,158.0
81,1659515192.0,311.0,474.0,8.75,2022-08-03 08:26:32,163.0
82,1659518792.0,445.0,595.0,9.0,2022-08-03 09:26:32,150.0
83,1659522392.0,537.0,690.0,9.0,2022-08-03 10:26:32,153.0
84,1659525992.0,635.0,786.0,9.25,2022-08-03 11:26:32,151.0
85,1659529592.0,675.0,825.0,9.75,2022-08-03 12:26:32,150.0
86,1659533192.0,716.0,861.0,10.0,2022-08-03 13:26:32,145.0
87,1659536792.0,836.0,996.0,10.25,2022-08-03 14:26:32,160.0
88,1659540392.0,336.0,483.0,10.75,2022-08-03 15:26:32,147.0
89,1659543992.0,755.0,902.0,11.0,2022-08-03 16:26:32,147.0
90,1659547592.0,674.0,824.0,11.5,2022-08-03 17:26:32,150.0
91,1659551192.0,558.0,704.0,11.5,2022-08-03 18:26:32,146.0
92,1659554792.0,431.0,568.0,11.75,2022-08-03 19:26:32,137.0
93,1659558392.0,293.0,436.0,11.75,2022-08-03 20:26:32,143.0
94,1659561992.0,168.0,309.0,11.75,2022-08-03 21:26:32,141.0
95,1659565592.0,31.0,172.0,11.75,2022-08-03 22:26:32,141.0
96,1659569192.0,17.0,156.0,11.5,2022-08-03 23:26:32,139.0
97,1659572792.0,3.0,135.0,11.5,2022-08-04 00:26:32,132.0
98,1659576392.0,3.0,130.0,11.25,2022-08-04 01:26:32,127.0
99,1659579992.0,3.0,130.0,11.0,2022-08-04 02:26:32,127.0
100,1659583592.0,3.0,144.0,10.75,2022-08-04 03:26:32,141.0
101,1659587192.0,14.0,181.0,10.5,2022-08-04 04:26:32,167.0
102,1659590792.0,50.0,216.0,10.25,2022-08-04 05:26:32,166.0
103,1659594392.0,114.0,278.0,10.0,2022-08-04 06:26:32,164.0
104,1659597992.0,279.0,437.0,9.75,2022-08-04 07:26:32,158.0
105,1659601592.0,541.0,681.0,9.75,2022-08-04 08:26:32,140.0
106,1659605192.0,575.0,729.0,9.75,2022-08-04 09:26:32,154.0
107,1659608792.0,751.0,882.0,10.25,2022-08-04 10:26:32,131.0
108,1659612392.0,843.0,960.0,10.5,2022-08-04 11:26:32,117.0
109,1659615992.0,718.0,854.0,10.75,2022-08-04 12:26:32,136.0
110,1659619592.0,855.0,989.0,11.25,2022-08-04 13:26:32,134.0
111,1659623192.0,568.0,704.0,12.0,2022-08-04 14:26:32,136.0
112,1659626792.0,675.0,799.0,12.25,2022-08-04 15:26:32,124.0
113,1659630392.0,759.0,893.0,12.0,2022-08-04 16:26:32,134.0
114,1659633992.0,625.0,736.0,12.25,2022-08-04 17:26:32,111.0
115,1659637592.0,985.0,1105.0,12.5,2022-08-04 18:26:32,120.0
116,1659641192.0,644.5,754.0,12.5,2022-08-04 19:26:32,109.5
117,1659644792.0,557.5,657.5,12.25,2022-08-04 20:26:32,100.0
118,1659648392.0,306.0,437.0,12.25,2022-08-04 21:26:32,131.0
119,1659651992.0,130.0,247.0,12.25,2022-08-04 22:26:32,117.0
120,1659655592.0,38.0,155.0,12.25,2022-08-04 23:26:32,117.0
121,1659659192.0,3.0,119.0,12.0,2022-08-05 00:26:32,116.0
122,1659662792.0,3.0,111.0,12.0,2022-08-05 01:26:32,108.0
123,1659666392.0,3.0,109.0,11.75,2022-08-05 02:26:32,106.0
124,1659669992.0,3.0,114.0,11.25,2022-08-05 03:26:32,111.0
125,1659673592.0,19.0,133.0,11.25,2022-08-05 04:26:32,114.0
126,1659677192.0,161.0,278.0,11.0,2022-08-05 05:26:32,117.0
127,1659680792.0,298.0,412.0,10.75,2022-08-05 06:26:32,114.0
128,1659684392.0,520.0,647.0,10.5,2022-08-05 07:26:32,127.0
129,1659687992.0,256.0,375.0,10.5,2022-08-05 08:26:32,119.0
130,1659691592.0,1054.0,1164.0,10.5,2022-08-05 09:26:32,110.0
131,1659695192.0,1181.0,1276.0,10.5,2022-08-05 10:26:32,95.0
132,1659698792.0,509.0,619.0,10.5,2022-08-05 11:26:32,110.0
133,1659702392.0,809.5,922.0,10.5,2022-08-05 12:26:32,112.5
134,1659705992.0,688.5,785.0,10.5,2022-08-05 13:26:32,96.5
135,1659709592.0,509.5,629.0,10.25,2022-08-05 14:26:32,119.5
136,1659713192.0,1119.0,1194.0,10.25,2022-08-05 15:26:32,75.0
137,1659716792.0,1161.5,1280.0,10.5,2022-08-05 16:26:32,118.5
138,1659720392.0,924.0,1012.0,10.75,2022-08-05 17:26:32,88.0
139,1659723992.0,95.0,203.0,10.75,2022-08-05 18:26:32,108.0
140,1659727592.0,142.0,255.0,10.75,2022-08-05 19:26:32,113.0
141,1659731192.0,338.0,458.0,10.5,2022-08-05 20:26:32,120.0
