time,ambient_light,scattered_light,dt,NTU
1674551546,1152,9720,24-01-2023 09:12:26.0000,1891.27997540224
1674552446,1569,10091,24-01-2023 09:27:26.0000,1994.73058511811
1674553346,1609,10108,24-01-2023 09:42:26.0000,1999.47090955253
1674554246,1454,10119,24-01-2023 09:57:26.0000,2002.53817830421
1674555146,1563,10126,24-01-2023 10:12:26.0000,2004.49007660074
1674556046,1572,10127,24-01-2023 10:27:26.0000,2004.76891921453
1674556946,1537,10133,24-01-2023 10:42:26.0000,2006.44197489726
1674557846,1524,10131,24-01-2023 10:57:26.0000,2005.88428966968
1674558746,1517,10135,24-01-2023 11:12:26.0000,2006.99966012484
1674559646,634,10135,24-01-2023 11:27:26.0000,2006.99966012484
1674560546,18,11203,24-01-2023 11:42:26.0000,2304.80357165193
1674561446,16,11448,24-01-2023 11:57:26.0000,2373.12001203034
1674562346,15,11520,24-01-2023 12:12:26.0000,2393.19668022318
1674563246,10,11516,24-01-2023 12:27:26.0000,2392.08130976802
1674564146,467,9438,24-01-2023 12:42:26.0000,1812.64635831362
1674565046,1554,9798,24-01-2023 12:57:26.0000,1913.02969927781
1674565946,1470,9844,24-01-2023 13:12:26.0000,1925.85645951212
1674566846,1471,9869,24-01-2023 13:27:26.0000,1932.82752485686
1674567746,1418,9867,24-01-2023 13:42:26.0000,1932.26983962928
1674568646,1432,9862,24-01-2023 13:57:26.0000,1930.87562656033
1674569546,4361,9913,24-01-2023 14:12:26.0000,1945.09659986359
1674570446,13141,9870,24-01-2023 14:27:26.0000,1933.10636747065
1674571346,11306,10098,24-01-2023 14:42:26.0000,1996.68248341463
1674572246,34,2959,24-01-2023 14:57:26.0000,6.02506357202809
1674573146,30,2956,24-01-2023 15:12:26.0000,5.18853573065986
1674574046,25,2963,24-01-2023 15:27:26.0000,7.14043402718573
1674574946,22,2954,24-01-2023 15:42:26.0000,4.63085050308103
1674575846,21,2951,24-01-2023 15:57:26.0000,3.7943226617128
1674576746,19,2947,24-01-2023 16:12:26.0000,2.67895220655516
1674577646,17,2949,24-01-2023 16:27:26.0000,3.23663743413398
1674578546,17,2950,24-01-2023 16:42:26.0000,3.51548004792339
1674579446,16,2953,24-01-2023 16:57:26.0000,4.35200788929162
1674580346,17,2950,24-01-2023 17:12:26.0000,3.51548004792339
1674581246,17,2949,24-01-2023 17:27:26.0000,3.23663743413398
1674582146,17,2955,24-01-2023 17:42:26.0000,4.90969311687044
1674583046,17,2943,24-01-2023 17:57:26.0000,1.56358175139751
1674583946,17,2953,24-01-2023 18:12:26.0000,4.35200788929162
1674584846,17,2955,24-01-2023 18:27:26.0000,4.90969311687044
1674585746,17,2947,24-01-2023 18:42:26.0000,2.67895220655516
1674586646,17,2957,24-01-2023 18:57:26.0000,5.46737834444927
1674587546,16,2950,24-01-2023 19:12:26.0000,3.51548004792339
1674588446,17,2950,24-01-2023 19:27:26.0000,3.51548004792339
1674589346,17,2944,24-01-2023 19:42:26.0000,1.84242436518692
1674590246,17,2954,24-01-2023 19:57:26.0000,4.63085050308103
1674591146,16,2948,24-01-2023 20:12:26.0000,2.95779482034457
1674592046,17,2953,24-01-2023 20:27:26.0000,4.35200788929162
1674592946,17,2955,24-01-2023 20:42:26.0000,4.90969311687044
1674593846,16,2954,24-01-2023 20:57:26.0000,4.63085050308103
1674594746,17,2954,24-01-2023 21:12:26.0000,4.63085050308103
1674595646,17,2959,24-01-2023 21:27:26.0000,6.02506357202809
1674596546,17,2948,24-01-2023 21:42:26.0000,2.95779482034457
1674597446,17,2948,24-01-2023 21:57:26.0000,2.95779482034457
1674598346,17,2951,24-01-2023 22:12:26.0000,3.7943226617128
1674599246,16,2947,24-01-2023 22:27:26.0000,2.67895220655516
1674600146,17,2955,24-01-2023 22:42:26.0000,4.90969311687044
1674601046,18,2956,24-01-2023 22:57:26.0000,5.18853573065986
1674601946,16,2945,24-01-2023 23:12:26.0000,2.12126697897633
1674602846,16,2948,24-01-2023 23:27:26.0000,2.95779482034457
1674603746,17,2946,24-01-2023 23:42:26.0000,2.40010959276574
1674604646,17,2953,24-01-2023 23:57:26.0000,4.35200788929162
1674605546,17,2952,25-01-2023 00:12:26.0000,4.07316527550221
1674606446,17,2953,25-01-2023 00:27:26.0000,4.35200788929162
1674607346,17,2958,25-01-2023 00:42:26.0000,5.74622095823868
1674608246,17,2953,25-01-2023 00:57:26.0000,4.35200788929162
1674609146,17,2950,25-01-2023 01:12:26.0000,3.51548004792339
1674610046,16,2952,25-01-2023 01:27:26.0000,4.07316527550221
1674610946,17,2955,25-01-2023 01:42:26.0000,4.90969311687044
1674611846,17,2954,25-01-2023 01:57:26.0000,4.63085050308103
1674612746,17,2959,25-01-2023 02:12:26.0000,6.02506357202809
1674613646,17,2949,25-01-2023 02:27:26.0000,3.23663743413398
1674614546,16,2962,25-01-2023 02:42:26.0000,6.86159141339632
1674615446,17,2953,25-01-2023 02:57:26.0000,4.35200788929162
1674616346,17,2949,25-01-2023 03:12:26.0000,3.23663743413398
1674617246,17,2950,25-01-2023 03:27:26.0000,3.51548004792339
1674618146,16,2941,25-01-2023 03:42:26.0000,1.00589652381869
1674619046,17,2956,25-01-2023 03:57:26.0000,5.18853573065986
1674619946,17,2954,25-01-2023 04:12:26.0000,4.63085050308103
1674620846,17,2950,25-01-2023 04:27:26.0000,3.51548004792339
1674621746,17,2950,25-01-2023 04:42:26.0000,3.51548004792339
1674622646,17,2964,25-01-2023 04:57:26.0000,7.41927664097514
1674623546,17,2950,25-01-2023 05:12:26.0000,3.51548004792339
1674624446,17,2949,25-01-2023 05:27:26.0000,3.23663743413398
1674625346,16,2956,25-01-2023 05:42:26.0000,5.18853573065986
1674626246,17,2958,25-01-2023 05:57:26.0000,5.74622095823868
1674627146,17,2952,25-01-2023 06:12:26.0000,4.07316527550221
1674628046,17,2953,25-01-2023 06:27:26.0000,4.35200788929162
1674628946,17,2956,25-01-2023 06:42:26.0000,5.18853573065986
1674629846,18,2948,25-01-2023 06:57:26.0000,2.95779482034457
1674630746,17,2957,25-01-2023 07:12:26.0000,5.46737834444927
1674631646,16,2957,25-01-2023 07:27:26.0000,5.46737834444927
1674632546,17,2956,25-01-2023 07:42:26.0000,5.18853573065986
1674633446,17,2955,25-01-2023 07:57:26.0000,4.90969311687044
1674634346,17,2955,25-01-2023 08:12:26.0000,4.90969311687044
1674635246,17,2956,25-01-2023 08:27:26.0000,5.18853573065986
1674636146,17,2950,25-01-2023 08:42:26.0000,3.51548004792339
1674637046,16,2951,25-01-2023 08:57:26.0000,3.7943226617128
1674637946,18,2962,25-01-2023 09:12:26.0000,6.86159141339632
1674638846,18,2952,25-01-2023 09:27:26.0000,4.07316527550221
