time,ambient_light,scattered_light,dt,NTU
1674569622,161,9753,24-01-2023 14:13:42.0000,NaN
1674569645,116,8521,24-01-2023 14:14:05.0000,NaN
1674569650,100,8561,24-01-2023 14:14:10.0000,NaN
1674569650,100,8565,24-01-2023 14:14:10.0000,NaN
1674569650,104,8554,24-01-2023 14:14:10.0000,NaN
1674569650,102,8551,24-01-2023 14:14:10.0000,NaN
1674569650,99,8554,24-01-2023 14:14:10.0000,NaN
1674569650,97,8548,24-01-2023 14:14:10.0000,NaN
1674569650,101,8537,24-01-2023 14:14:10.0000,NaN
1674569651,102,8540,24-01-2023 14:14:11.0000,NaN
1674569651,97,8550,24-01-2023 14:14:11.0000,NaN
1674569651,87,8566,24-01-2023 14:14:11.0000,NaN
1674569651,88,8552,24-01-2023 14:14:11.0000,NaN
1674569651,84,8562,24-01-2023 14:14:11.0000,NaN
1674569651,87,8567,24-01-2023 14:14:11.0000,NaN
1674569651,89,8563,24-01-2023 14:14:11.0000,NaN
1674569651,89,8563,24-01-2023 14:14:11.0000,NaN
1674569652,88,8563,24-01-2023 14:14:12.0000,NaN
1674569652,89,8561,24-01-2023 14:14:12.0000,NaN
1674569652,91,8550,24-01-2023 14:14:12.0000,NaN
1674569652,92,8562,24-01-2023 14:14:12.0000,NaN
1674569652,92,8558,24-01-2023 14:14:12.0000,NaN
1674569652,93,8557,24-01-2023 14:14:12.0000,NaN
1674569652,94,8552,24-01-2023 14:14:12.0000,NaN
1674569652,94,8553,24-01-2023 14:14:12.0000,NaN
1674569653,93,8558,24-01-2023 14:14:13.0000,NaN
1674569653,93,8563,24-01-2023 14:14:13.0000,NaN
1674569653,94,8558,24-01-2023 14:14:13.0000,NaN
1674569653,94,8560,24-01-2023 14:14:13.0000,NaN
1674569653,94,8564,24-01-2023 14:14:13.0000,NaN
1674569653,91,8573,24-01-2023 14:14:13.0000,NaN
1674569653,88,8597,24-01-2023 14:14:13.0000,NaN
1674569653,88,8589,24-01-2023 14:14:13.0000,NaN
1674569654,92,8586,24-01-2023 14:14:14.0000,NaN
1674569654,85,8629,24-01-2023 14:14:14.0000,NaN
1674569654,80,8602,24-01-2023 14:14:14.0000,NaN
1674569654,87,8602,24-01-2023 14:14:14.0000,NaN
1674569654,84,8614,24-01-2023 14:14:14.0000,NaN
1674569654,85,8613,24-01-2023 14:14:14.0000,NaN
1674569654,85,8626,24-01-2023 14:14:14.0000,NaN
1674569654,84,8632,24-01-2023 14:14:14.0000,NaN
1674569655,85,8631,24-01-2023 14:14:15.0000,NaN
1674569659,85,8643,24-01-2023 14:14:19.0000,NaN
1674570559,10034,8661,24-01-2023 14:29:19.0000,NaN
1674571459,13804,8438,24-01-2023 14:44:19.0000,NaN
1674572359,12847,8321,24-01-2023 14:59:19.0000,NaN
1674573259,7668,8300,24-01-2023 15:14:19.0000,NaN
1674574159,16,2832,24-01-2023 15:29:19.0000,NaN
1674575059,15,2820,24-01-2023 15:44:19.0000,NaN
1674575959,14,2826,24-01-2023 15:59:19.0000,NaN
1674576859,13,2818,24-01-2023 16:14:19.0000,NaN
1674577759,12,2824,24-01-2023 16:29:19.0000,NaN
1674578659,12,2832,24-01-2023 16:44:19.0000,NaN
1674579559,12,2829,24-01-2023 16:59:19.0000,NaN
1674580459,11,2822,24-01-2023 17:14:19.0000,NaN
1674581359,12,2822,24-01-2023 17:29:19.0000,NaN
1674582259,12,2821,24-01-2023 17:44:19.0000,NaN
1674583159,12,2824,24-01-2023 17:59:19.0000,NaN
1674584059,12,2827,24-01-2023 18:14:19.0000,NaN
1674584959,11,2816,24-01-2023 18:29:19.0000,NaN
1674585859,12,2818,24-01-2023 18:44:19.0000,NaN
1674586759,12,2815,24-01-2023 18:59:19.0000,NaN
1674587659,12,2813,24-01-2023 19:14:19.0000,NaN
1674588559,12,2820,24-01-2023 19:29:19.0000,NaN
1674589459,12,2818,24-01-2023 19:44:19.0000,NaN
1674590359,12,2824,24-01-2023 19:59:19.0000,NaN
1674591259,12,2821,24-01-2023 20:14:19.0000,NaN
1674592159,13,2826,24-01-2023 20:29:19.0000,NaN
1674593059,13,2816,24-01-2023 20:44:19.0000,NaN
1674593959,11,2817,24-01-2023 20:59:19.0000,NaN
1674594859,12,2828,24-01-2023 21:14:19.0000,NaN
1674595759,12,2824,24-01-2023 21:29:19.0000,NaN
1674596659,12,2818,24-01-2023 21:44:19.0000,NaN
1674597559,12,2825,24-01-2023 21:59:19.0000,NaN
1674598459,12,2822,24-01-2023 22:14:19.0000,NaN
1674599359,11,2823,24-01-2023 22:29:19.0000,NaN
1674600259,12,2838,24-01-2023 22:44:19.0000,NaN
1674601159,12,2820,24-01-2023 22:59:19.0000,NaN
1674602059,12,2818,24-01-2023 23:14:19.0000,NaN
1674602959,11,2820,24-01-2023 23:29:19.0000,NaN
1674603859,11,2817,24-01-2023 23:44:19.0000,NaN
1674604759,12,2819,24-01-2023 23:59:19.0000,NaN
1674605659,12,2826,25-01-2023 00:14:19.0000,NaN
1674606559,12,2820,25-01-2023 00:29:19.0000,NaN
1674607459,12,2828,25-01-2023 00:44:19.0000,NaN
1674608359,12,2821,25-01-2023 00:59:19.0000,NaN
1674609259,11,2811,25-01-2023 01:14:19.0000,NaN
1674610159,12,2820,25-01-2023 01:29:19.0000,NaN
1674611059,12,2824,25-01-2023 01:44:19.0000,NaN
1674611959,12,2819,25-01-2023 01:59:19.0000,NaN
1674612859,12,2815,25-01-2023 02:14:19.0000,NaN
1674613759,12,2816,25-01-2023 02:29:19.0000,NaN
1674614659,13,2814,25-01-2023 02:44:19.0000,NaN
1674615559,12,2822,25-01-2023 02:59:19.0000,NaN
1674616459,11,2822,25-01-2023 03:14:19.0000,NaN
1674617359,11,2818,25-01-2023 03:29:19.0000,NaN
1674618259,12,2816,25-01-2023 03:44:19.0000,NaN
1674619159,11,2812,25-01-2023 03:59:19.0000,NaN
1674620059,12,2818,25-01-2023 04:14:19.0000,NaN
1674620959,12,2824,25-01-2023 04:29:19.0000,NaN
1674621859,12,2818,25-01-2023 04:44:19.0000,NaN
1674622759,12,2820,25-01-2023 04:59:19.0000,NaN
1674623659,11,2823,25-01-2023 05:14:19.0000,NaN
1674624559,12,2819,25-01-2023 05:29:19.0000,NaN
1674625459,11,2820,25-01-2023 05:44:19.0000,NaN
1674626359,12,2858,25-01-2023 05:59:19.0000,NaN
1674627259,12,2821,25-01-2023 06:14:19.0000,NaN
1674628159,12,2820,25-01-2023 06:29:19.0000,NaN
1674629059,13,2820,25-01-2023 06:44:19.0000,NaN
1674629959,12,2823,25-01-2023 06:59:19.0000,NaN
1674630859,12,2815,25-01-2023 07:14:19.0000,NaN
1674631759,11,2823,25-01-2023 07:29:19.0000,NaN
1674632659,13,2816,25-01-2023 07:44:19.0000,NaN
1674633559,12,2823,25-01-2023 07:59:19.0000,NaN
1674634459,13,2818,25-01-2023 08:14:19.0000,NaN
1674635359,12,2819,25-01-2023 08:29:19.0000,NaN
1674636259,12,2822,25-01-2023 08:44:19.0000,NaN
1674637159,12,2825,25-01-2023 08:59:19.0000,NaN
1674638059,12,2818,25-01-2023 09:14:19.0000,NaN
1674638959,13,2824,25-01-2023 09:29:19.0000,NaN
1674639859,14,2822,25-01-2023 09:44:19.0000,NaN
1674640759,13,2817,25-01-2023 09:59:19.0000,NaN
1674641659,14,2822,25-01-2023 10:14:19.0000,NaN
1674642559,14,2818,25-01-2023 10:29:19.0000,NaN
1674643459,16,2822,25-01-2023 10:44:19.0000,NaN
1674644359,17,2827,25-01-2023 10:59:19.0000,NaN
1674645259,20,2826,25-01-2023 11:14:19.0000,NaN
1674646159,20,2819,25-01-2023 11:29:19.0000,NaN
1674647059,22,2816,25-01-2023 11:44:19.0000,NaN
1674647959,23,2818,25-01-2023 11:59:19.0000,NaN
1674648859,23,2825,25-01-2023 12:14:19.0000,NaN
1674649759,26,2830,25-01-2023 12:29:19.0000,NaN
1674650659,24,2828,25-01-2023 12:44:19.0000,NaN
1674651559,25,2827,25-01-2023 12:59:19.0000,NaN
1674652459,23,2819,25-01-2023 13:14:19.0000,NaN
1674653359,20,2817,25-01-2023 13:29:19.0000,NaN
1674654259,23,2818,25-01-2023 13:44:19.0000,NaN
1674655159,23,2826,25-01-2023 13:59:19.0000,NaN
1674656059,23,2816,25-01-2023 14:14:19.0000,NaN
1674656959,22,2820,25-01-2023 14:29:19.0000,NaN
1674657859,21,2821,25-01-2023 14:44:19.0000,NaN
1674658759,18,2823,25-01-2023 14:59:19.0000,NaN
1674659659,17,2821,25-01-2023 15:14:19.0000,NaN
1674660559,16,2821,25-01-2023 15:29:19.0000,NaN
1674661459,15,2819,25-01-2023 15:44:19.0000,NaN
1674662359,13,2819,25-01-2023 15:59:19.0000,NaN
1674663259,13,2829,25-01-2023 16:14:19.0000,NaN
1674664159,13,2823,25-01-2023 16:29:19.0000,NaN
1674665059,12,2817,25-01-2023 16:44:19.0000,NaN
1674665959,12,2821,25-01-2023 16:59:19.0000,NaN
1674666859,13,2817,25-01-2023 17:14:19.0000,NaN
1674667759,13,2824,25-01-2023 17:29:19.0000,NaN
1674668659,12,2823,25-01-2023 17:44:19.0000,NaN
1674669559,11,2818,25-01-2023 17:59:19.0000,NaN
1674670459,13,2824,25-01-2023 18:14:19.0000,NaN
1674671359,12,2831,25-01-2023 18:29:19.0000,NaN
1674672259,11,2819,25-01-2023 18:44:19.0000,NaN
1674673159,12,2823,25-01-2023 18:59:19.0000,NaN
1674674059,12,2823,25-01-2023 19:14:19.0000,NaN
1674674959,12,2820,25-01-2023 19:29:19.0000,NaN
1674675859,12,2823,25-01-2023 19:44:19.0000,NaN
1674676759,12,2823,25-01-2023 19:59:19.0000,NaN
1674677659,13,2825,25-01-2023 20:14:19.0000,NaN
1674678559,13,2822,25-01-2023 20:29:19.0000,NaN
1674679459,13,2827,25-01-2023 20:44:19.0000,NaN
1674680359,13,2821,25-01-2023 20:59:19.0000,NaN
