burstID,unixTime,background,reading,temperature,datetime,corrected
1,1659227008.0,21.0,288.0,9.5,2022-07-31 00:23:28.000,267.0
2,1659230609.0,13.0,285.0,9.5,2022-07-31 01:23:29.000,272.0
3,1659234209.0,11.0,280.0,9.25,2022-07-31 02:23:29.000,269.0
4,1659237809.0,14.0,302.0,9.25,2022-07-31 03:23:29.000,288.0
5,1659241409.0,28.0,340.0,9.0,2022-07-31 04:23:29.000,312.0
6,1659245009.0,25.0,382.0,9.0,2022-07-31 05:23:29.000,357.0
7,1659248609.0,29.0,431.0,8.75,2022-07-31 06:23:29.000,402.0
8,1659252209.0,43.0,513.0,8.5,2022-07-31 07:23:29.000,470.0
9,1659255809.0,55.0,625.0,8.5,2022-07-31 08:23:29.000,570.0
10,1659259409.0,40.0,730.0,8.25,2022-07-31 09:23:29.000,690.0
11,1659263009.0,37.0,781.0,8.0,2022-07-31 10:23:29.000,744.0
12,1659266609.0,45.0,777.0,7.75,2022-07-31 11:23:29.000,732.0
13,1659270209.0,59.0,771.0,7.75,2022-07-31 12:23:29.000,712.0
14,1659273809.0,86.0,751.0,7.75,2022-07-31 13:23:29.000,665.0
15,1659277409.0,114.0,744.0,7.75,2022-07-31 14:23:29.000,630.0
16,1659281009.0,125.0,730.5,8.0,2022-07-31 15:23:29.000,605.5
17,1659284609.0,140.0,724.0,8.25,2022-07-31 16:23:29.000,584.0
18,1659288209.0,85.0,649.0,8.5,2022-07-31 17:23:29.000,564.0
19,1659291809.0,105.0,646.0,8.25,2022-07-31 18:23:29.000,541.0
20,1659295409.0,77.0,610.0,8.5,2022-07-31 19:23:29.000,533.0
21,1659299009.0,48.0,559.0,8.5,2022-07-31 20:23:29.000,511.0
22,1659302609.0,33.0,529.5,8.5,2022-07-31 21:23:29.000,496.5
23,1659306209.0,16.0,516.0,8.25,2022-07-31 22:23:29.000,500.0
24,1659309809.0,12.0,490.0,8.25,2022-07-31 23:23:29.000,478.0
25,1659313409.0,10.0,486.0,8.25,2022-08-01 00:23:29.000,476.0
26,1659317009.0,10.0,504.0,8.0,2022-08-01 01:23:29.000,494.0
27,1659320609.0,9.0,500.0,8.0,2022-08-01 02:23:29.000,491.0
28,1659324209.0,9.0,540.0,7.75,2022-08-01 03:23:29.000,531.0
29,1659327809.0,10.0,737.0,7.75,2022-08-01 04:23:29.000,727.0
30,1659331409.0,11.0,720.0,7.5,2022-08-01 05:23:29.000,709.0
31,1659335009.0,15.0,628.0,7.5,2022-08-01 06:23:29.000,613.0
32,1659338609.0,20.0,629.0,7.25,2022-08-01 07:23:29.000,609.0
33,1659342209.0,34.0,655.0,7.25,2022-08-01 08:23:29.000,621.0
34,1659345809.0,32.0,706.0,7.0,2022-08-01 09:23:29.000,674.0
35,1659349409.0,34.0,659.0,7.0,2022-08-01 10:23:29.000,625.0
36,1659353009.0,59.0,663.0,6.75,2022-08-01 11:23:29.000,604.0
37,1659356609.0,74.5,663.0,6.75,2022-08-01 12:23:29.000,588.5
38,1659360209.0,70.0,646.0,6.75,2022-08-01 13:23:29.000,576.0
39,1659363809.0,74.0,638.0,7.0,2022-08-01 14:23:29.000,564.0
40,1659367409.0,59.5,603.5,6.75,2022-08-01 15:23:29.000,544.0
41,1659371009.0,57.0,580.0,6.75,2022-08-01 16:23:29.000,523.0
42,1659374609.0,61.0,564.0,6.75,2022-08-01 17:23:29.000,503.0
43,1659378209.0,69.0,564.0,6.75,2022-08-01 18:23:29.000,495.0
44,1659381809.0,60.0,536.0,6.75,2022-08-01 19:23:29.000,476.0
45,1659385409.0,49.0,504.0,6.75,2022-08-01 20:23:29.000,455.0
46,1659389009.0,37.0,478.0,6.75,2022-08-01 21:23:29.000,441.0
47,1659392609.0,23.0,461.0,6.75,2022-08-01 22:23:29.000,438.0
48,1659396209.0,14.0,428.0,6.75,2022-08-01 23:23:29.000,414.0
49,1659399809.0,13.0,421.0,6.75,2022-08-02 00:23:29.000,408.0
50,1659403410.0,10.0,407.0,6.5,2022-08-02 01:23:30.000,397.0
51,1659407010.0,10.0,396.0,6.5,2022-08-02 02:23:30.000,386.0
52,1659410610.0,13.0,390.5,6.5,2022-08-02 03:23:30.000,377.5
53,1659414210.0,20.0,392.0,6.25,2022-08-02 04:23:30.000,372.0
54,1659417810.0,41.0,402.0,6.25,2022-08-02 05:23:30.000,361.0
55,1659421410.0,66.0,425.0,6.25,2022-08-02 06:23:30.000,359.0
